age,education,jobclass,health,health_ins,wage
51,3. Some College,2. Information,2. >=Very Good,1. Yes,101.4020523
33,5. Advanced Degree,1. Industrial,2. >=Very Good,2. No,81.28325328
34,2. HS Grad,1. Industrial,2. >=Very Good,2. No,111.7208494
36,4. College Grad,2. Information,2. >=Very Good,1. Yes,89.88004678
56,5. Advanced Degree,2. Information,1. <=Good,1. Yes,87.98103279
70,4. College Grad,1. Industrial,1. <=Good,1. Yes,87.98103279
25,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,103.9024706
32,3. Some College,1. Industrial,2. >=Very Good,2. No,105.9278108
27,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,66.22940829
28,4. College Grad,1. Industrial,2. >=Very Good,2. No,34.60741773
27,4. College Grad,2. Information,2. >=Very Good,1. Yes,109.8339856
43,1. < HS Grad,1. Industrial,1. <=Good,2. No,45.28216999
50,1. < HS Grad,1. Industrial,1. <=Good,1. Yes,73.77574327
39,2. HS Grad,2. Information,2. >=Very Good,2. No,81.28325328
52,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,154.685293
35,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,267.9010869
57,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,176.9896505
25,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,66.22940829
33,2. HS Grad,2. Information,1. <=Good,1. Yes,116.2653241
57,5. Advanced Degree,2. Information,2. >=Very Good,2. No,200.5432623
71,3. Some College,1. Industrial,2. >=Very Good,1. Yes,101.8243521
43,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,272.2947832
23,3. Some College,1. Industrial,2. >=Very Good,2. No,35.03342132
30,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,114.4757133
22,2. HS Grad,2. Information,2. >=Very Good,1. Yes,81.28325328
59,5. Advanced Degree,2. Information,1. <=Good,1. Yes,200.5432623
28,4. College Grad,2. Information,2. >=Very Good,1. Yes,148.4131591
61,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,99.6894637
34,2. HS Grad,2. Information,2. >=Very Good,1. Yes,111.7208494
43,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,152.838801
54,3. Some College,1. Industrial,2. >=Very Good,2. No,117.1468169
69,2. HS Grad,1. Industrial,1. <=Good,1. Yes,77.7376033
41,3. Some College,1. Industrial,1. <=Good,1. Yes,87.98103279
48,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,125.5254984
49,3. Some College,2. Information,2. >=Very Good,1. Yes,123.336104
42,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,158.2946214
37,4. College Grad,2. Information,2. >=Very Good,1. Yes,200.5432623
55,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,99.6894637
21,2. HS Grad,1. Industrial,2. >=Very Good,2. No,70.47601965
58,2. HS Grad,2. Information,2. >=Very Good,1. Yes,94.07271475
31,2. HS Grad,1. Industrial,2. >=Very Good,2. No,81.28325328
25,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,81.28325328
32,3. Some College,2. Information,2. >=Very Good,1. Yes,100.7642728
40,1. < HS Grad,2. Information,2. >=Very Good,1. Yes,94.07271475
44,5. Advanced Degree,2. Information,2. >=Very Good,2. No,99.6894637
60,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,268.266292
23,1. < HS Grad,1. Industrial,1. <=Good,1. Yes,81.28325328
63,2. HS Grad,2. Information,2. >=Very Good,2. No,113.5670896
44,1. < HS Grad,1. Industrial,1. <=Good,2. No,87.98103279
47,5. Advanced Degree,2. Information,1. <=Good,1. Yes,128.6804882
61,3. Some College,1. Industrial,2. >=Very Good,1. Yes,106.7239776
55,5. Advanced Degree,2. Information,2. >=Very Good,2. No,66.04469423
24,1. < HS Grad,1. Industrial,1. <=Good,2. No,51.52195631
42,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,85.38394038
25,2. HS Grad,2. Information,2. >=Very Good,1. Yes,76.89360252
34,2. HS Grad,1. Industrial,2. >=Very Good,2. No,90.48191336
53,1. < HS Grad,2. Information,2. >=Very Good,2. No,68.07642829
53,4. College Grad,2. Information,2. >=Very Good,1. Yes,130.9821774
70,5. Advanced Degree,2. Information,1. <=Good,2. No,127.901233
47,4. College Grad,2. Information,2. >=Very Good,1. Yes,131.2245938
46,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,99.6894637
33,1. < HS Grad,1. Industrial,1. <=Good,1. Yes,76.89360252
34,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,107.9039239
22,2. HS Grad,1. Industrial,1. <=Good,2. No,81.28325328
74,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,99.6894637
40,3. Some College,2. Information,1. <=Good,1. Yes,98.59934386
45,4. College Grad,2. Information,2. >=Very Good,1. Yes,200.5432623
43,4. College Grad,2. Information,2. >=Very Good,1. Yes,156.5035109
33,4. College Grad,2. Information,2. >=Very Good,1. Yes,144.944365
62,4. College Grad,2. Information,2. >=Very Good,1. Yes,118.8843593
37,4. College Grad,2. Information,2. >=Very Good,1. Yes,121.4303138
54,2. HS Grad,2. Information,1. <=Good,1. Yes,111.7208494
34,3. Some College,1. Industrial,2. >=Very Good,2. No,68.74808773
50,4. College Grad,2. Information,2. >=Very Good,1. Yes,114.4757133
46,3. Some College,1. Industrial,1. <=Good,1. Yes,95.23071257
41,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,87.98103279
63,3. Some College,1. Industrial,1. <=Good,1. Yes,64.27439722
38,3. Some College,1. Industrial,1. <=Good,1. Yes,128.6804882
35,3. Some College,1. Industrial,2. >=Very Good,1. Yes,114.4757133
29,4. College Grad,2. Information,1. <=Good,1. Yes,112.6488963
66,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,81.28325328
37,2. HS Grad,2. Information,1. <=Good,1. Yes,75.89548482
39,2. HS Grad,2. Information,2. >=Very Good,1. Yes,112.136923
42,2. HS Grad,1. Industrial,2. >=Very Good,2. No,85.38394038
51,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,94.07271475
55,5. Advanced Degree,1. Industrial,1. <=Good,1. Yes,114.4757133
51,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,176.9896505
38,5. Advanced Degree,1. Industrial,1. <=Good,1. Yes,276.7784133
49,2. HS Grad,2. Information,2. >=Very Good,1. Yes,101.8243521
42,2. HS Grad,2. Information,2. >=Very Good,2. No,91.69922611
43,1. < HS Grad,2. Information,1. <=Good,2. No,86.69515483
38,4. College Grad,2. Information,2. >=Very Good,1. Yes,162.9464607
59,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,139.2137881
57,3. Some College,1. Industrial,1. <=Good,1. Yes,95.23071257
25,2. HS Grad,1. Industrial,1. <=Good,2. No,66.96164432
49,4. College Grad,1. Industrial,1. <=Good,1. Yes,131.1943236
41,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,90.48191336
38,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,114.4757133
61,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,79.1280845
49,2. HS Grad,1. Industrial,1. <=Good,1. Yes,104.5917379
52,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,132.4878211
43,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,141.7751723
60,4. College Grad,2. Information,2. >=Very Good,1. Yes,123.0896998
46,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,134.7053751
21,2. HS Grad,2. Information,2. >=Very Good,2. No,55.76739051
61,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,106.9218141
32,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,118.8843593
58,2. HS Grad,2. Information,1. <=Good,1. Yes,87.98103279
35,2. HS Grad,2. Information,2. >=Very Good,1. Yes,88.92960664
26,2. HS Grad,2. Information,2. >=Very Good,1. Yes,81.28325328
32,2. HS Grad,1. Industrial,2. >=Very Good,2. No,94.07271475
37,2. HS Grad,2. Information,2. >=Very Good,1. Yes,106.9218141
22,2. HS Grad,1. Industrial,1. <=Good,2. No,59.09706408
51,2. HS Grad,1. Industrial,1. <=Good,2. No,65.11085372
44,5. Advanced Degree,2. Information,1. <=Good,1. Yes,120.5894365
35,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,157.7005277
60,2. HS Grad,2. Information,2. >=Very Good,1. Yes,129.4536446
40,4. College Grad,2. Information,2. >=Very Good,1. Yes,176.9896505
35,1. < HS Grad,2. Information,2. >=Very Good,2. No,59.09706408
35,5. Advanced Degree,2. Information,2. >=Very Good,2. No,94.07271475
47,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,134.7053751
43,4. College Grad,2. Information,2. >=Very Good,1. Yes,81.28325328
33,1. < HS Grad,1. Industrial,1. <=Good,1. Yes,81.28325328
60,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,153.4575153
38,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,136.8763676
53,2. HS Grad,2. Information,2. >=Very Good,2. No,75.04315402
55,3. Some College,2. Information,2. >=Very Good,1. Yes,130.2208324
57,2. HS Grad,2. Information,1. <=Good,2. No,104.9215065
64,4. College Grad,2. Information,1. <=Good,2. No,49.55533812
43,2. HS Grad,1. Industrial,1. <=Good,1. Yes,123.9085676
35,3. Some College,2. Information,2. >=Very Good,1. Yes,123.0896998
54,2. HS Grad,2. Information,2. >=Very Good,2. No,78.15516141
45,2. HS Grad,2. Information,1. <=Good,1. Yes,73.77574327
58,4. College Grad,2. Information,2. >=Very Good,1. Yes,138.2991269
48,4. College Grad,2. Information,1. <=Good,2. No,127.1157438
46,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,68.74808773
46,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,84.39111475
55,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,85.38394038
51,3. Some College,1. Industrial,2. >=Very Good,1. Yes,128.6804882
49,3. Some College,1. Industrial,2. >=Very Good,1. Yes,70.47601965
34,3. Some College,1. Industrial,2. >=Very Good,1. Yes,76.89360252
53,3. Some College,1. Industrial,2. >=Very Good,2. No,148.4131591
40,3. Some College,1. Industrial,2. >=Very Good,1. Yes,148.4131591
50,3. Some College,1. Industrial,2. >=Very Good,1. Yes,175.9608831
37,1. < HS Grad,2. Information,1. <=Good,1. Yes,98.59934386
39,3. Some College,1. Industrial,2. >=Very Good,1. Yes,145.1436012
52,4. College Grad,1. Industrial,1. <=Good,1. Yes,99.6894637
50,2. HS Grad,2. Information,2. >=Very Good,1. Yes,141.0888744
48,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,123.0896998
47,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,129.4536446
27,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,111.7208494
39,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,103.9024706
44,2. HS Grad,2. Information,1. <=Good,1. Yes,118.8843593
37,3. Some College,1. Industrial,2. >=Very Good,1. Yes,151.5914842
52,2. HS Grad,1. Industrial,1. <=Good,2. No,101.8243521
26,3. Some College,1. Industrial,2. >=Very Good,1. Yes,99.6894637
39,5. Advanced Degree,1. Industrial,1. <=Good,1. Yes,99.6894637
25,2. HS Grad,1. Industrial,1. <=Good,2. No,99.6894637
31,4. College Grad,2. Information,2. >=Very Good,2. No,94.07271475
58,3. Some College,1. Industrial,1. <=Good,1. Yes,152.2168068
30,4. College Grad,2. Information,2. >=Very Good,1. Yes,104.9215065
27,1. < HS Grad,1. Industrial,1. <=Good,1. Yes,65.11085372
40,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,95.23071257
55,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,173.8794933
35,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,193.4110705
48,2. HS Grad,1. Industrial,1. <=Good,2. No,114.4757133
29,4. College Grad,1. Industrial,1. <=Good,1. Yes,160.6424754
25,3. Some College,1. Industrial,2. >=Very Good,1. Yes,89.49247952
40,3. Some College,1. Industrial,2. >=Very Good,1. Yes,120.5894365
27,1. < HS Grad,2. Information,1. <=Good,2. No,73.77574327
44,2. HS Grad,2. Information,2. >=Very Good,1. Yes,127.1157438
49,3. Some College,2. Information,2. >=Very Good,1. Yes,118.8843593
22,3. Some College,1. Industrial,1. <=Good,2. No,34.60741773
45,3. Some College,1. Industrial,1. <=Good,1. Yes,114.4757133
33,3. Some College,1. Industrial,2. >=Very Good,2. No,85.38394038
63,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,318.3424301
49,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,141.7751723
39,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,130.9821774
25,1. < HS Grad,1. Industrial,1. <=Good,2. No,73.77574327
29,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,130.9821774
37,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,75.04315402
35,5. Advanced Degree,2. Information,1. <=Good,1. Yes,154.9902603
46,2. HS Grad,1. Industrial,1. <=Good,1. Yes,104.9215065
58,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,73.11830692
39,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,123.0896998
41,4. College Grad,2. Information,2. >=Very Good,1. Yes,157.7005277
29,4. College Grad,2. Information,2. >=Very Good,1. Yes,81.28325328
37,4. College Grad,2. Information,1. <=Good,1. Yes,107.2560621
62,2. HS Grad,2. Information,1. <=Good,2. No,78.98167452
27,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,73.77574327
37,2. HS Grad,1. Industrial,1. <=Good,1. Yes,94.07271475
56,4. College Grad,2. Information,1. <=Good,2. No,99.6894637
36,3. Some College,2. Information,2. >=Very Good,1. Yes,176.9896505
23,2. HS Grad,2. Information,2. >=Very Good,2. No,73.77574327
46,3. Some College,2. Information,2. >=Very Good,1. Yes,99.6894637
26,3. Some College,1. Industrial,2. >=Very Good,2. No,94.07271475
43,1. < HS Grad,2. Information,2. >=Very Good,1. Yes,95.23071257
36,2. HS Grad,2. Information,2. >=Very Good,1. Yes,127.1157438
54,3. Some College,2. Information,1. <=Good,1. Yes,99.6894637
62,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,95.68881191
40,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,109.8339856
53,3. Some College,1. Industrial,2. >=Very Good,1. Yes,118.8843593
48,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,176.9896505
23,4. College Grad,1. Industrial,2. >=Very Good,2. No,61.18752643
34,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,81.28325328
43,4. College Grad,2. Information,2. >=Very Good,2. No,256.4006496
55,2. HS Grad,2. Information,1. <=Good,1. Yes,81.28325328
59,2. HS Grad,2. Information,2. >=Very Good,1. Yes,81.28325328
60,2. HS Grad,2. Information,2. >=Very Good,2. No,55.76739051
49,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,75.35567932
45,3. Some College,1. Industrial,2. >=Very Good,1. Yes,130.9821774
31,2. HS Grad,1. Industrial,2. >=Very Good,2. No,43.73511168
34,4. College Grad,2. Information,1. <=Good,1. Yes,114.4757133
26,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,114.4757133
22,2. HS Grad,1. Industrial,2. >=Very Good,2. No,81.28325328
40,2. HS Grad,2. Information,1. <=Good,2. No,68.5721657
41,3. Some College,2. Information,2. >=Very Good,1. Yes,109.8339856
36,3. Some College,1. Industrial,2. >=Very Good,1. Yes,97.49329405
38,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,62.39835472
48,2. HS Grad,1. Industrial,2. >=Very Good,2. No,97.49329405
47,3. Some College,2. Information,2. >=Very Good,1. Yes,134.7053751
47,1. < HS Grad,1. Industrial,1. <=Good,2. No,61.18752643
35,4. College Grad,2. Information,1. <=Good,2. No,118.8843593
49,2. HS Grad,2. Information,2. >=Very Good,1. Yes,65.11085372
40,3. Some College,2. Information,2. >=Very Good,1. Yes,109.8339856
32,4. College Grad,1. Industrial,2. >=Very Good,2. No,104.9215065
57,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,73.77574327
56,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,141.7751723
73,1. < HS Grad,1. Industrial,1. <=Good,2. No,90.48191336
29,2. HS Grad,1. Industrial,1. <=Good,1. Yes,73.77574327
49,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,134.7053751
30,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,109.8339856
29,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,91.69922611
36,3. Some College,2. Information,2. >=Very Good,2. No,95.23071257
39,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,156.5035109
48,4. College Grad,2. Information,2. >=Very Good,1. Yes,104.9215065
45,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,99.6894637
50,4. College Grad,1. Industrial,1. <=Good,2. No,54.59815003
42,4. College Grad,2. Information,2. >=Very Good,1. Yes,32.36641317
58,3. Some College,1. Industrial,1. <=Good,2. No,118.8843593
48,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,109.8339856
48,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,109.8339856
45,3. Some College,2. Information,2. >=Very Good,1. Yes,118.8843593
41,3. Some College,1. Industrial,2. >=Very Good,1. Yes,110.7826503
27,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,93.55726735
44,2. HS Grad,2. Information,2. >=Very Good,1. Yes,109.8339856
32,4. College Grad,2. Information,2. >=Very Good,1. Yes,118.8843593
46,1. < HS Grad,2. Information,2. >=Very Good,1. Yes,118.8843593
52,2. HS Grad,2. Information,1. <=Good,2. No,52.15617117
22,3. Some College,1. Industrial,2. >=Very Good,2. No,43.73511168
53,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,117.1468169
34,5. Advanced Degree,1. Industrial,1. <=Good,1. Yes,118.8843593
38,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,148.4131591
42,1. < HS Grad,2. Information,2. >=Very Good,1. Yes,101.8243521
25,3. Some College,2. Information,2. >=Very Good,1. Yes,94.07271475
29,3. Some College,1. Industrial,2. >=Very Good,1. Yes,86.69515483
28,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,141.7751723
46,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,66.96164432
55,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,118.8843593
56,2. HS Grad,1. Industrial,1. <=Good,2. No,105.7676396
41,2. HS Grad,2. Information,1. <=Good,1. Yes,118.8843593
61,5. Advanced Degree,2. Information,2. >=Very Good,2. No,176.9896505
47,2. HS Grad,2. Information,2. >=Very Good,1. Yes,65.11085372
52,3. Some College,1. Industrial,2. >=Very Good,1. Yes,85.38394038
27,2. HS Grad,1. Industrial,2. >=Very Good,2. No,72.15045568
33,3. Some College,2. Information,2. >=Very Good,1. Yes,89.24288466
58,2. HS Grad,2. Information,1. <=Good,1. Yes,65.11085372
27,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,145.8051634
52,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,87.98103279
45,5. Advanced Degree,1. Industrial,2. >=Very Good,2. No,41.09980363
22,2. HS Grad,2. Information,2. >=Very Good,1. Yes,68.3956538
25,3. Some College,1. Industrial,1. <=Good,1. Yes,81.28325328
25,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,73.77574327
41,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,130.9821774
54,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,148.4131591
23,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,81.22674631
36,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,63.188861
31,3. Some College,1. Industrial,1. <=Good,1. Yes,94.07271475
52,2. HS Grad,2. Information,1. <=Good,1. Yes,92.65813017
46,2. HS Grad,2. Information,1. <=Good,2. No,76.89360252
45,2. HS Grad,1. Industrial,1. <=Good,1. Yes,118.8843593
40,2. HS Grad,1. Industrial,1. <=Good,2. No,79.85490031
33,4. College Grad,2. Information,2. >=Very Good,1. Yes,86.69515483
42,4. College Grad,2. Information,2. >=Very Good,1. Yes,133.9715001
41,4. College Grad,2. Information,2. >=Very Good,1. Yes,125.5254984
25,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,92.89584479
24,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,72.15045568
24,3. Some College,1. Industrial,2. >=Very Good,2. No,118.8843593
51,2. HS Grad,2. Information,1. <=Good,2. No,70.47601965
41,2. HS Grad,1. Industrial,2. >=Very Good,2. No,127.1157438
42,4. College Grad,2. Information,2. >=Very Good,1. Yes,114.4757133
30,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,87.98103279
55,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,54.59815003
23,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,84.04595765
60,4. College Grad,2. Information,2. >=Very Good,2. No,85.38394038
40,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,141.7751723
41,2. HS Grad,2. Information,2. >=Very Good,1. Yes,110.7826503
80,2. HS Grad,2. Information,1. <=Good,1. Yes,79.85490031
53,2. HS Grad,2. Information,2. >=Very Good,1. Yes,97.49329405
40,2. HS Grad,1. Industrial,2. >=Very Good,2. No,171.7651326
35,3. Some College,1. Industrial,1. <=Good,1. Yes,137.4812478
55,1. < HS Grad,1. Industrial,1. <=Good,1. Yes,75.35567932
24,2. HS Grad,2. Information,2. >=Very Good,1. Yes,73.77574327
39,4. College Grad,2. Information,2. >=Very Good,1. Yes,148.4131591
30,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,95.23071257
68,2. HS Grad,1. Industrial,1. <=Good,1. Yes,87.98103279
54,2. HS Grad,2. Information,1. <=Good,1. Yes,109.8339856
27,4. College Grad,1. Industrial,2. >=Very Good,2. No,81.28325328
34,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,118.8843593
53,5. Advanced Degree,2. Information,1. <=Good,1. Yes,127.1157438
48,5. Advanced Degree,2. Information,2. >=Very Good,2. No,85.38394038
59,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,81.28325328
30,3. Some College,1. Industrial,2. >=Very Good,2. No,118.8843593
45,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,163.515864
39,4. College Grad,2. Information,1. <=Good,1. Yes,104.9215065
45,4. College Grad,1. Industrial,1. <=Good,2. No,99.6894637
43,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,281.7459706
30,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,138.2991269
57,4. College Grad,2. Information,2. >=Very Good,1. Yes,176.9896505
53,4. College Grad,2. Information,1. <=Good,1. Yes,136.8763676
42,4. College Grad,2. Information,2. >=Very Good,1. Yes,186.8766776
23,2. HS Grad,1. Industrial,1. <=Good,2. No,90.48191336
58,2. HS Grad,1. Industrial,1. <=Good,2. No,85.38394038
43,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,145.1436012
33,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,120.5894365
56,4. College Grad,2. Information,2. >=Very Good,1. Yes,101.8243521
37,4. College Grad,1. Industrial,2. >=Very Good,2. No,108.8745258
41,5. Advanced Degree,1. Industrial,2. >=Very Good,2. No,38.60591452
33,3. Some College,2. Information,2. >=Very Good,1. Yes,92.89584479
50,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,126.3238807
43,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,191.5736835
53,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,155.9005061
37,3. Some College,2. Information,2. >=Very Good,1. Yes,87.98103279
20,3. Some College,2. Information,2. >=Very Good,2. No,59.09706408
26,3. Some College,1. Industrial,2. >=Very Good,1. Yes,73.77574327
29,4. College Grad,2. Information,2. >=Very Good,2. No,90.48191336
57,4. College Grad,2. Information,2. >=Very Good,1. Yes,118.8843593
47,3. Some College,2. Information,2. >=Very Good,1. Yes,151.5914842
54,5. Advanced Degree,1. Industrial,2. >=Very Good,2. No,272.2947832
38,1. < HS Grad,1. Industrial,1. <=Good,2. No,97.49329405
23,3. Some College,1. Industrial,2. >=Very Good,2. No,68.11199407
31,2. HS Grad,2. Information,2. >=Very Good,1. Yes,127.1157438
43,4. College Grad,2. Information,2. >=Very Good,1. Yes,272.2947832
33,5. Advanced Degree,2. Information,1. <=Good,2. No,111.7208494
48,2. HS Grad,1. Industrial,1. <=Good,1. Yes,127.1157438
33,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,87.98103279
52,4. College Grad,2. Information,2. >=Very Good,1. Yes,114.4757133
30,3. Some College,2. Information,2. >=Very Good,2. No,69.79153085
44,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,94.07271475
38,2. HS Grad,2. Information,2. >=Very Good,1. Yes,127.273347
51,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,160.6424754
47,3. Some College,1. Industrial,2. >=Very Good,1. Yes,171.7651326
28,4. College Grad,2. Information,1. <=Good,1. Yes,141.7751723
52,3. Some College,2. Information,2. >=Very Good,1. Yes,115.3750386
23,1. < HS Grad,1. Industrial,1. <=Good,2. No,72.15045568
65,1. < HS Grad,1. Industrial,1. <=Good,2. No,73.77574327
27,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,127.1157438
33,1. < HS Grad,2. Information,2. >=Very Good,2. No,20.93437794
49,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,79.85490031
27,3. Some College,1. Industrial,1. <=Good,1. Yes,102.8702469
