File:  Cars Data,,,,,,,,,,,,,,
Description:  Basic data on cars produced in 2018,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Make,Model,DriveTrain,Origin,Type,Cylinders,Engine Size (L),Horsepower,Invoice,Length (IN),MPG (City),MPG (Highway),MSRP,Weight (LBS),Wheelbase (IN)
Chevrolet,Impala LS 4dr,Front,USA,Sedan,6,3.8,200,"$22,931 ",200,20,30,"$25,000 ",3476,111
Chevrolet,Impala SS 4dr,Front,USA,Sedan,6,3.8,240,"$25,672 ",200,18,28,"$27,995 ",3606,111
Chevrolet,Malibu 4dr,Front,USA,Sedan,4,2.2,145,"$17,434 ",188,24,34,"$18,995 ",3174,106
Chevrolet,Malibu LS 4dr,Front,USA,Sedan,6,3.5,200,"$18,639 ",188,22,30,"$20,370 ",3297,106
Chevrolet,Malibu LT 4dr,Front,USA,Sedan,6,3.5,200,"$21,551 ",188,23,32,"$23,495 ",3315,106
Chevrolet,Malibu Maxx LS,Front,USA,Wagon,6,3.5,200,"$20,394 ",188,22,30,"$22,225 ",3458,112
Chevrolet,Monte Carlo LS 2dr,Front,USA,Sedan,6,3.4,180,"$20,026 ",198,21,32,"$21,825 ",3340,111
Chevrolet,Monte Carlo SS 2dr,Front,USA,Sedan,6,3.8,200,"$22,222 ",198,18,28,"$24,225 ",3434,111
Chevrolet,Silverado 1500 Regular Cab,Rear,USA,Truck,6,4.3,200,"$18,480 ",206,15,21,"$20,310 ",4142,119
Chevrolet,Silverado SS,All,USA,Truck,8,6,300,"$35,399 ",238,13,17,"$40,340 ",4804,144
Chevrolet,SSR,Rear,USA,Truck,8,5.3,300,"$39,306 ",191,16,19,"$41,995 ",4760,116
Chevrolet,Suburban 1500 LT,Front,USA,SUV,8,5.3,295,"$37,422 ",219,14,18,"$42,735 ",4947,130
Chevrolet,Tahoe LT,All,USA,SUV,8,5.3,295,"$36,287 ",197,14,18,"$41,465 ",5050,116
Chevrolet,Tracker,Front,USA,SUV,6,2.5,165,"$19,108 ",163,19,22,"$20,255 ",2866,98
Chevrolet,TrailBlazer LT,Front,USA,SUV,6,4.2,275,"$27,479 ",192,16,21,"$30,295 ",4425,113
Chevrolet,Venture LS,Front,USA,Sedan,6,3.4,185,"$24,518 ",187,19,26,"$27,020 ",3699,112
Chrysler,300M 4dr,Front,USA,Sedan,6,3.5,250,"$27,797 ",198,18,27,"$29,865 ",3581,113
Chrysler,300M Special Edition 4dr,Front,USA,Sedan,6,3.5,255,"$30,884 ",198,18,27,"$33,295 ",3650,113
Chrysler,Concorde LX 4dr,Front,USA,Sedan,6,2.7,200,"$22,452 ",208,21,29,"$24,130 ",3479,113
Chrysler,Concorde LXi 4dr,Front,USA,Sedan,6,3.5,232,"$24,909 ",208,19,27,"$26,860 ",3548,113
Chrysler,Crossfire 2dr,Rear,USA,Sports,6,3.2,215,"$32,033 ",160,17,25,"$34,495 ",3060,95
Chrysler,Pacifica,Rear,USA,Wagon,6,3.5,250,"$28,725 ",199,17,23,"$31,230 ",4675,116
Chrysler,PT Cruiser 4dr,Front,USA,Sedan,4,2.4,150,"$16,919 ",169,22,29,"$17,985 ",3101,103
Chrysler,PT Cruiser GT 4dr,Front,USA,Sedan,4,2.4,220,"$24,172 ",169,21,27,"$25,955 ",3217,103
Chrysler,PT Cruiser Limited 4dr,Front,USA,Sedan,4,2.4,150,"$20,573 ",169,22,29,"$22,000 ",3105,103
Chrysler,Sebring 4dr,Front,USA,Sedan,4,2.4,150,"$17,805 ",191,22,30,"$19,090 ",3173,108
Chrysler,Sebring convertible 2dr,Front,USA,Sedan,4,2.4,150,"$23,451 ",194,22,30,"$25,215 ",3357,106
Chrysler,Sebring Limited convertible 2dr,Front,USA,Sedan,6,2.7,200,"$28,613 ",194,21,28,"$30,950 ",3448,106
Chrysler,Sebring Touring 4dr,Front,USA,Sedan,6,2.7,200,"$20,284 ",191,21,28,"$21,840 ",3222,108
Chrysler,Town and Country Limited,Front,USA,Sedan,6,3.8,215,"$35,063 ",201,18,25,"$38,380 ",4331,119
Chrysler,Town and Country LX,Front,USA,Sedan,6,3.3,180,"$25,371 ",201,19,26,"$27,490 ",4068,119
Dodge,Caravan SE,Front,USA,Sedan,4,2.4,150,"$20,508 ",189,20,26,"$21,795 ",3862,113
Dodge,Dakota Club Cab,Rear,USA,Truck,6,3.7,210,"$18,670 ",219,16,22,"$20,300 ",3829,131
Dodge,Dakota Regular Cab,Rear,USA,Truck,6,3.7,210,"$16,264 ",193,16,22,"$17,630 ",3714,112
Dodge,Durango SLT,All,USA,SUV,8,4.7,230,"$29,472 ",201,15,21,"$32,235 ",4987,119
Dodge,Grand Caravan SXT,All,USA,Sedan,6,3.8,215,"$29,812 ",201,18,25,"$32,660 ",4440,119
Dodge,Intrepid ES 4dr,Front,USA,Sedan,6,3.5,232,"$23,058 ",204,18,27,"$24,885 ",3487,113
Dodge,Intrepid SE 4dr,Front,USA,Sedan,6,2.7,200,"$20,502 ",204,21,29,"$22,035 ",3469,113
Dodge,Neon SE 4dr,Front,USA,Sedan,4,2,132,"$12,849 ",174,29,36,"$13,670 ",2581,105
Dodge,Neon SXT 4dr,Front,USA,Sedan,4,2,132,"$14,086 ",174,29,36,"$15,040 ",2626,105
Dodge,Ram 1500 Regular Cab ST,Rear,USA,Truck,6,3.7,215,"$18,076 ",208,16,21,"$20,215 ",4542,121
Dodge,Stratus SE 4dr,Front,USA,Sedan,4,2.4,150,"$18,821 ",191,21,28,"$20,220 ",3175,108
Dodge,Stratus SXT 4dr,Front,USA,Sedan,4,2.4,150,"$17,512 ",191,21,28,"$18,820 ",3182,108
Dodge,Viper SRT-10 convertible 2dr,Rear,USA,Sports,10,8.3,500,"$74,451 ",176,12,20,"$81,795 ",3410,99
Ford,Crown Victoria 4dr,Rear,USA,Sedan,8,4.6,224,"$22,856 ",212,17,25,"$24,345 ",4057,115
Ford,Crown Victoria LX 4dr,Rear,USA,Sedan,8,4.6,224,"$25,105 ",212,17,25,"$27,370 ",4057,115
Ford,Crown Victoria LX Sport 4dr,Rear,USA,Sedan,8,4.6,239,"$27,756 ",212,17,25,"$30,315 ",4057,115
Ford,Escape XLS,All,USA,SUV,6,3,201,"$20,907 ",173,18,23,"$22,515 ",3346,103
Ford,Excursion 6.8 XLT,All,USA,SUV,10,6.8,310,"$36,494 ",227,10,13,"$41,475 ",7190,137
Ford,Expedition 4.6 XLT,Front,USA,SUV,8,4.6,232,"$30,468 ",206,15,19,"$34,560 ",5000,119
Ford,Explorer XLT V6,All,USA,SUV,6,4,210,"$26,983 ",190,15,20,"$29,670 ",4463,114
Ford,F-150 Regular Cab XL,Rear,USA,Truck,8,4.6,231,"$19,490 ",211,15,19,"$22,010 ",4788,126
Ford,F-150 Supercab Lariat,All,USA,Truck,8,5.4,300,"$29,405 ",218,14,18,"$33,540 ",5464,133
Ford,Focus LX 4dr,Front,USA,Sedan,4,2,110,"$12,906 ",168,27,36,"$13,730 ",2606,103
Ford,Focus SE 4dr,Front,USA,Sedan,4,2,130,"$14,496 ",168,26,33,"$15,460 ",2606,103
Ford,Focus SVT 2dr,Front,USA,Sedan,4,2,170,"$17,878 ",168,21,28,"$19,135 ",2750,103
Ford,Focus ZTW,Front,USA,Wagon,4,2,130,"$16,375 ",178,26,33,"$17,475 ",2702,103
Ford,Focus ZX3 2dr hatch,Front,USA,Sedan,4,2,130,"$12,482 ",168,26,33,"$13,270 ",2612,103
Ford,Focus ZX5 5dr,Front,USA,Sedan,4,2,130,"$14,607 ",168,26,33,"$15,580 ",2691,103
Ford,Freestar SE,Front,USA,Sedan,6,3.9,193,"$24,498 ",201,17,23,"$26,930 ",4275,121
Ford,Mustang 2dr (convertible),Rear,USA,Sports,6,3.8,193,"$16,943 ",183,20,29,"$18,345 ",3290,101
Ford,Mustang GT Premium convertible 2dr,Rear,USA,Sports,8,4.6,260,"$26,875 ",183,17,25,"$29,380 ",3347,101
Ford,Ranger 2.3 XL Regular Cab,Rear,USA,Truck,4,2.3,143,"$13,717 ",188,24,29,"$14,385 ",3028,111
Ford,Taurus LX 4dr,Front,USA,Sedan,6,3,155,"$18,881 ",198,20,27,"$20,320 ",3306,109
Ford,Taurus SE,Front,USA,Wagon,6,3,155,"$20,457 ",198,19,26,"$22,290 ",3497,109
Ford,Taurus SES Duratec 4dr,Front,USA,Sedan,6,3,201,"$20,857 ",198,19,26,"$22,735 ",3313,109
Ford,Thunderbird Deluxe convert w/hardtop 2d,Front,USA,Sports,8,3.9,280,"$34,483 ",186,17,24,"$37,530 ",3780,107
GMC,Canyon Z85 SL Regular Cab,Rear,USA,Truck,4,2.8,175,"$14,877 ",192,18,25,"$16,530 ",3351,111
GMC,Envoy XUV SLE,Front,USA,SUV,6,4.2,275,"$28,922 ",208,15,19,"$31,890 ",4945,129
GMC,Safari SLE,Rear,USA,Sedan,6,4.3,190,"$23,215 ",190,16,20,"$25,640 ",4309,111
GMC,Sierra Extended Cab 1500,Rear,USA,Truck,8,4.8,285,"$22,604 ",230,17,20,"$25,717 ",4548,144
GMC,Sierra HD 2500,All,USA,Truck,8,6,300,"$25,759 ",222,13,18,"$29,322 ",5440,133
GMC,Sonoma Crew Cab,All,USA,Truck,6,4.3,190,"$23,043 ",208,15,19,"$25,395 ",4083,123
GMC,Yukon 1500 SLE,Front,USA,SUV,8,4.8,285,"$31,361 ",199,16,19,"$35,725 ",5042,116
GMC,Yukon XL 2500 SLT,All,USA,SUV,8,6,325,"$40,534 ",219,13,17,"$46,265 ",6133,130
Honda,Accord EX 2dr,Front,Asia,Sedan,4,2.4,160,"$20,080 ",188,26,34,"$22,260 ",3047,105
Honda,Accord EX V6 2dr,Front,Asia,Sedan,6,3,240,"$24,304 ",188,21,30,"$26,960 ",3294,105
Honda,Accord LX 2dr,Front,Asia,Sedan,4,2.4,160,"$17,924 ",188,26,34,"$19,860 ",2994,105
Honda,Accord LX V6 4dr,Front,Asia,Sedan,6,3,240,"$21,428 ",190,21,30,"$23,760 ",3349,108
Honda,Civic DX 2dr,Front,Asia,Sedan,4,1.7,115,"$12,175 ",175,32,38,"$13,270 ",2432,103
Honda,Civic EX 4dr,Front,Asia,Sedan,4,1.7,127,"$16,265 ",175,32,37,"$17,750 ",2601,103
Honda,Civic HX 2dr,Front,Asia,Sedan,4,1.7,117,"$12,996 ",175,36,44,"$14,170 ",2500,103
Honda,Civic Hybrid 4dr manual (gas/electric),Front,Asia,Hybrid,4,1.4,93,"$18,451 ",175,46,51,"$20,140 ",2732,103
Honda,Civic LX 4dr,Front,Asia,Sedan,4,1.7,115,"$14,531 ",175,32,38,"$15,850 ",2513,103
Honda,Civic Si 2dr hatch,Front,Asia,Sedan,4,2,160,"$17,849 ",166,26,30,"$19,490 ",2782,101
Honda,CR-V LX,All,Asia,SUV,4,2.4,160,"$18,419 ",179,21,25,"$19,860 ",3258,103
Honda,Element LX,All,Asia,SUV,4,2.4,160,"$17,334 ",167,21,24,"$18,690 ",3468,101
Honda,Insight 2dr (gas/electric),Front,Asia,Hybrid,3,2,73,"$17,911 ",155,60,66,"$19,110 ",1850,95
Honda,Odyssey EX,Front,Asia,Sedan,6,3.5,240,"$24,744 ",201,18,25,"$27,450 ",4365,118
Honda,Odyssey LX,Front,Asia,Sedan,6,3.5,240,"$22,498 ",201,18,25,"$24,950 ",4310,118
Honda,Pilot LX,All,Asia,SUV,6,3.5,240,"$24,843 ",188,17,22,"$27,560 ",4387,106
Honda,S2000 convertible 2dr,Rear,Asia,Sports,4,2.2,240,"$29,965 ",162,20,25,"$33,260 ",2835,95
Hummer,H2,All,USA,SUV,8,6,316,"$45,815 ",190,10,12,"$49,995 ",6400,123
Hyundai,Accent 2dr hatch,Front,Asia,Sedan,4,1.6,103,"$10,107 ",167,29,33,"$10,539 ",2255,96
Hyundai,Accent GL 4dr,Front,Asia,Sedan,4,1.6,103,"$11,116 ",167,29,33,"$11,839 ",2290,96
Hyundai,Accent GT 2dr hatch,Front,Asia,Sedan,4,1.6,103,"$11,209 ",167,29,33,"$11,939 ",2339,96
Hyundai,Elantra GLS 4dr,Front,Asia,Sedan,4,2,138,"$12,781 ",178,26,34,"$13,839 ",2635,103
Hyundai,Elantra GT 4dr,Front,Asia,Sedan,4,2,138,"$14,207 ",178,26,34,"$15,389 ",2635,103
Hyundai,Elantra GT 4dr hatch,Front,Asia,Sedan,4,2,138,"$14,207 ",178,26,34,"$15,389 ",2698,103
Hyundai,Santa Fe GLS,Front,Asia,SUV,6,2.7,173,"$20,201 ",177,20,26,"$21,589 ",3549,103
Hyundai,Sonata GLS 4dr,Front,Asia,Sedan,6,2.7,170,"$17,574 ",187,19,27,"$19,339 ",3217,106
Hyundai,Sonata LX 4dr,Front,Asia,Sedan,6,2.7,170,"$18,380 ",187,19,27,"$20,339 ",3217,106
Hyundai,Tiburon GT V6 2dr,Front,Asia,Sports,6,2.7,172,"$17,101 ",173,19,26,"$18,739 ",3023,100
Hyundai,XG350 4dr,Front,Asia,Sedan,6,3.5,194,"$22,055 ",192,17,26,"$24,589 ",3651,108
Hyundai,XG350 L 4dr,Front,Asia,Sedan,6,3.5,194,"$23,486 ",192,17,26,"$26,189 ",3651,108
Infiniti,FX35,Rear,Asia,Wagon,6,3.5,280,"$31,756 ",189,16,22,"$34,895 ",4056,112
Infiniti,FX45,All,Asia,Wagon,8,4.5,315,"$33,121 ",189,15,19,"$36,395 ",4309,112
Infiniti,G35 4dr,All,Asia,Sedan,6,3.5,260,"$29,783 ",187,18,26,"$32,445 ",3677,112
Infiniti,G35 4dr,Rear,Asia,Sedan,6,3.5,260,"$26,157 ",187,18,26,"$28,495 ",3336,112
Infiniti,G35 Sport Coupe 2dr,Rear,Asia,Sedan,6,3.5,280,"$27,536 ",182,18,26,"$29,795 ",3416,112
Infiniti,I35 4dr,Front,Asia,Sedan,6,3.5,255,"$28,320 ",194,19,26,"$31,145 ",3306,108
Infiniti,M45 4dr,Rear,Asia,Sedan,8,4.5,340,"$38,792 ",197,17,23,"$42,845 ",3851,110
Infiniti,Q45 Luxury 4dr,Rear,Asia,Sedan,8,4.5,340,"$47,575 ",200,17,23,"$52,545 ",3977,113
Isuzu,Ascender S,All,Asia,SUV,6,4.2,275,"$29,977 ",208,15,20,"$31,849 ",4967,129
Isuzu,Rodeo S,Front,Asia,SUV,6,3.2,193,"$19,261 ",178,17,21,"$20,449 ",3836,106
Jaguar,S-Type 3.0 4dr,Rear,Europe,Sedan,6,3,235,"$40,004 ",192,18,26,"$43,895 ",3777,115
Jaguar,S-Type 4.2 4dr,Rear,Europe,Sedan,8,4.2,294,"$45,556 ",192,18,28,"$49,995 ",3874,115
Jaguar,S-Type R 4dr,Rear,Europe,Sedan,8,4.2,390,"$57,499 ",192,17,24,"$63,120 ",4046,115
Jaguar,Vanden Plas 4dr,Rear,Europe,Sedan,8,4.2,294,"$62,846 ",200,18,28,"$68,995 ",3803,119
Jaguar,X-Type 2.5 4dr,All,Europe,Sedan,6,2.5,192,"$27,355 ",184,18,26,"$29,995 ",3428,107
Jaguar,X-Type 3.0 4dr,All,Europe,Sedan,6,3,227,"$30,995 ",184,18,25,"$33,995 ",3516,107
Jaguar,XJ8 4dr,Rear,Europe,Sedan,8,4.2,294,"$54,656 ",200,18,28,"$59,995 ",3803,119
Jaguar,XJR 4dr,Rear,Europe,Sedan,8,4.2,390,"$68,306 ",200,17,24,"$74,995 ",3948,119
Jaguar,XK8 convertible 2dr,Rear,Europe,Sports,8,4.2,294,"$68,306 ",187,18,26,"$74,995 ",3980,102
Jaguar,XK8 coupe 2dr,Rear,Europe,Sports,8,4.2,294,"$63,756 ",187,18,26,"$69,995 ",3779,102
Jaguar,XKR convertible 2dr,Rear,Europe,Sports,8,4.2,390,"$79,226 ",187,16,23,"$86,995 ",4042,102
Jaguar,XKR coupe 2dr,Rear,Europe,Sports,8,4.2,390,"$74,676 ",187,16,23,"$81,995 ",3865,102
Jeep,Grand Cherokee Laredo,Front,USA,SUV,6,4,195,"$25,686 ",181,16,21,"$27,905 ",3790,106
Jeep,Liberty Sport,All,USA,SUV,4,2.4,150,"$18,973 ",174,20,24,"$20,130 ",3826,104
Jeep,Wrangler Sahara convertible 2dr,All,USA,SUV,6,4,190,"$23,275 ",150,16,19,"$25,520 ",3575,93
Kia,Amanti 4dr,Front,Asia,Sedan,6,3.5,195,"$23,764 ",196,17,25,"$26,000 ",4021,110
Kia,Optima LX 4dr,Front,Asia,Sedan,4,2.4,138,"$14,910 ",186,23,30,"$16,040 ",3281,106
Kia,Optima LX V6 4dr,Front,Asia,Sedan,6,2.7,170,"$16,850 ",186,20,27,"$18,435 ",3279,106
Kia,Rio 4dr auto,Front,Asia,Sedan,4,1.6,104,"$10,705 ",167,25,32,"$11,155 ",2458,95
Kia,Rio 4dr manual,Front,Asia,Sedan,4,1.6,104,"$9,875 ",167,26,33,"$10,280 ",2403,95
Kia,Rio Cinco,Front,Asia,Wagon,4,1.6,104,"$11,410 ",167,26,33,"$11,905 ",2447,95
Kia,Sedona LX,Front,Asia,Sedan,6,3.5,195,"$19,400 ",194,16,22,"$20,615 ",4802,115
Kia,Sorento LX,Front,Asia,SUV,6,3.5,192,"$18,630 ",180,16,19,"$19,635 ",4112,107
Kia,Spectra 4dr,Front,Asia,Sedan,4,1.8,124,"$11,630 ",178,24,32,"$12,360 ",2661,101
Kia,Spectra GS 4dr hatch,Front,Asia,Sedan,4,1.8,124,"$12,830 ",178,24,32,"$13,580 ",2686,101
Kia,Spectra GSX 4dr hatch,Front,Asia,Sedan,4,1.8,124,"$13,790 ",178,24,32,"$14,630 ",2697,101
Land Rover,Discovery SE,All,Europe,SUV,8,4.6,217,"$35,777 ",185,12,16,"$39,250 ",4576,100
Land Rover,Freelander SE,All,Europe,SUV,6,2.5,174,"$23,969 ",175,18,21,"$25,995 ",3577,101
Land Rover,Range Rover HSE,All,Europe,SUV,8,4.4,282,"$65,807 ",195,12,16,"$72,250 ",5379,113
Lexus,ES 330 4dr,Front,Asia,Sedan,6,3.3,225,"$28,755 ",191,20,29,"$32,350 ",3460,107
Lexus,GS 300 4dr,Rear,Asia,Sedan,6,3,220,"$36,196 ",189,18,25,"$41,010 ",3649,110
Lexus,GS 430 4dr,Rear,Asia,Sedan,8,4.3,300,"$42,232 ",189,18,23,"$48,450 ",3715,110
